Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,9.870000,9.870000,9.810000,9.835000,9.835000,912300
2019-11-01,9.835000,9.920000,9.810000,9.920000,9.920000,1323300
2019-12-01,9.920000,9.920000,9.810000,9.900000,9.900000,613700
2020-01-01,9.900000,10.190000,9.900000,10.050000,10.050000,521000
2020-02-01,10.050000,10.150000,9.970000,10.038000,10.038000,148200
2020-03-01,10.038000,10.110000,9.400000,10.000000,10.000000,3002900
2020-04-01,10.110000,10.110000,9.781000,9.970000,9.970000,819800
2020-05-01,10.100000,10.100000,9.900000,9.933000,9.933000,38300
2020-06-01,10.010000,10.250000,9.930000,10.170000,10.170000,1031500
2020-07-01,10.160000,10.660000,10.160000,10.300000,10.300000,1547400
2020-08-01,10.390000,11.070000,10.160000,10.480000,10.480000,5647800
2020-09-01,10.600000,12.490000,10.540000,11.750000,11.750000,6652900
2020-10-01,11.075000,11.200000,9.960000,10.200000,10.200000,14503700
2020-11-01,10.200000,10.639000,10.060000,10.520000,10.520000,4117200
2020-12-01,10.650000,16.360001,10.440000,14.600000,14.600000,25192200
2021-01-01,15.440000,21.000000,13.000000,18.990000,18.990000,32727400
2021-02-01,19.299999,25.400000,14.500000,14.570000,14.570000,53035400
2021-03-01,15.520000,17.320000,11.300000,13.230000,13.230000,55806100
2021-04-01,13.310000,14.430000,9.865000,12.380000,12.380000,24064400
2021-05-01,12.340000,14.880000,8.092000,14.410000,14.410000,33368600
2021-06-01,14.400000,15.550000,10.440000,10.890000,10.890000,35739300
2021-07-01,10.950000,11.060000,7.770000,7.910000,7.910000,42045000
2021-08-01,8.000000,9.100000,6.710000,7.880000,7.880000,71720000
2021-09-01,7.900000,9.350000,7.420000,7.540000,7.540000,50758300
2021-10-01,7.550000,8.790000,7.180000,7.800000,7.800000,37197100
2021-11-01,7.820000,9.190000,6.330000,6.550000,6.550000,68514900
2021-12-01,6.600000,6.815000,5.470000,6.550000,6.550000,52918900
2022-01-01,6.580000,6.890000,4.070000,4.880000,4.880000,45987500
2022-02-01,4.940000,5.370000,4.150000,5.220000,5.220000,49780000
2022-03-01,5.180000,5.510000,3.860000,5.330000,5.330000,54019700
2022-04-01,5.410000,5.550000,4.100000,4.210000,4.210000,33732100
2022-05-01,4.170000,4.460000,2.720000,4.040000,4.040000,55155500
2022-06-01,4.030000,4.920000,3.540000,4.530000,4.530000,55502500
2022-07-01,4.500000,6.270000,4.490000,6.190000,6.190000,34653900
2022-08-01,6.110000,7.280000,5.820000,6.360000,6.360000,41626500
2022-09-01,6.230000,6.750000,5.210000,5.580000,5.580000,27420200
2022-10-01,5.660000,5.840000,4.010000,4.540000,4.540000,32045100
2022-11-01,4.630000,6.420000,4.060000,6.190000,6.190000,50533700
2022-12-01,6.250000,7.450000,6.080000,6.410000,6.410000,29266000
2023-01-01,6.500000,8.290000,6.010000,8.280000,8.280000,30351400
2023-02-01,8.280000,11.770000,7.660000,11.270000,11.270000,64091200
2023-03-01,11.500000,12.041000,8.245000,9.920000,9.920000,79035800
2023-04-01,9.920000,12.235000,9.420000,11.590000,11.590000,74745900
2023-05-01,11.580000,12.340000,8.710000,8.940000,8.940000,85340200
2023-06-01,8.890000,9.610000,8.160000,9.400000,9.400000,56812600
2023-07-01,9.450000,9.455000,8.080000,8.970000,8.970000,55297900
2023-08-01,8.840000,9.275000,6.595000,6.940000,6.940000,78248200
